*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=SegTermPanel
*Date=01:14:17
*CreatedBy=Fritzing 0.9.2b.11.19.8d2d5970658f0bed09c661c9ea9a515b5f40f44c
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
1;;;305.94;-310.32;0;Bottom;Via3
2;;;305.94;-254.275;0;Bottom;Via11
3;;;305.94;-114.878;0;Bottom;Via13
4;;THT;326.824;-169.891;0;Bottom;J73
5;;;330.281;-25.1073;0;Bottom;Via36
6;;THT;144.59;-223.542;-90;Bottom;J29
7;;;269.218;-321.171;0;Bottom;Via41
8;;;305.94;-147.334;0;Bottom;Via19
9;;THT;195.39;-55.9018;-90;Bottom;J64
10;;;287.431;-97.3359;0;Bottom;Via66
11;;;27.9509;-97.168;0;Bottom;TXT1
12;;;305.94;-80.9413;0;Bottom;Via21
13;;;305.94;-338.213;0;Bottom;Via1
14;;THT;246.19;-139.722;-90;Bottom;J48
15;;THT;246.19;-223.542;-90;Bottom;J26
16;;;66.0655;-321.171;0;Bottom;Via49
17;;[THT];12.4004;-98.653;0;Bottom;S4
18;;THT;6.93097;-166.289;0;Bottom;J74
19;;;267.111;-124.288;0;Bottom;Via56
20;;;282.647;-138.917;-90;Bottom;TXT3
21;;THT;195.381;-27.961;-90;Bottom;J69
22;;;116.818;-321.171;0;Bottom;Via47
23;;;275.102;-137.967;-90;Bottom;TXT3
24;;THT;93.7899;-167.662;-90;Bottom;J41
25;;THT;256.621;-191.481;-90;Bottom;J77
26;100nF;100 mil [THT, multilayer];13.7127;-20.2289;-90;Bottom;C4
27;;;328.376;-200.3;-90;Bottom;TXT3
28;;THT;270.921;-143.197;-90;Bottom;J76
29;;;12.4287;-145.638;0;Bottom;TXT6
30;;THT;246.19;-279.422;-90;Bottom;J15
31;;4Ucon 08780 [THT];5.07898;-23.9735;0;Bottom;TRS2
32;;;4.80564;-5.00455;0;Bottom;Hole4
33;;THT;93.7857;-307.368;-90;Bottom;J12
34;;;27.9406;-99.698;0;Bottom;TXT1
35;;;274.731;-102.416;0;Bottom;Via64
36;;;282.351;-22.7352;0;Bottom;Via63
37;;;6.41733;-321.171;0;Bottom;Via51
38;;THT;144.59;-279.422;-90;Bottom;J14
39;;THT;296.979;-27.961;-90;Bottom;J68
40;;;328.447;-138.376;-90;Bottom;TXT3
41;;THT;286.161;-143.197;-90;Bottom;J75
42;;;8.17498;-240.408;-90;Bottom;TXT2
43;;THT;144.59;-111.782;-90;Bottom;J51
44;;;35.7803;-25.069;0;Bottom;TXT1
45;;THT;195.386;-307.368;-90;Bottom;J7
46;;[THT];12.4004;-85.953;0;Bottom;S5
47;;THT;42.9993;-83.8306;-90;Bottom;J58
48;;THT;296.985;-307.368;-90;Bottom;J8
49;;THT;296.991;-195.602;-90;Bottom;J36
50;;;331.787;-53.0473;0;Bottom;Via35
51;;;305.94;-170.711;0;Bottom;Via22
52;;THT;296.991;-83.8418;-90;Bottom;J59
53;5k;THT;21.3248;-21.5153;0;Bottom;R9
54;;THT;42.9993;-139.711;-90;Bottom;J43
55;;;305.94;-109.046;0;Bottom;Via24
56;;;294.359;-319.427;0;Bottom;TXT2
57;;THT;42.9993;-167.651;-90;Bottom;J39
58;;;28.3302;-102.239;0;Bottom;TXT1
59;;THT;296.991;-139.722;-90;Bottom;J45
60;;;287.708;-138.888;-90;Bottom;TXT3
61;5k;THT;21.3519;-28.9471;0;Bottom;R6
62;;THT;93.7899;-83.8418;-90;Bottom;J56
63;;;15.0567;-187.161;-90;Bottom;TXT5
64;;;27.9351;-97.1659;0;Bottom;TXT1
65;;THT;144.59;-167.662;-90;Bottom;J40
66;;THT;42.9993;-279.411;-90;Bottom;J17
67;;;325.883;-200.324;-90;Bottom;TXT3
68;;THT;8.18158;-31.904;-90;Bottom;J78
69;;;333.292;-276.547;0;Bottom;Via27
70;;THT;93.7803;-27.961;-90;Bottom;J67
71;;;32.5135;-127.393;0;Bottom;Via53
72;;;290.248;-138.888;-90;Bottom;TXT3
73;;;35.8327;-27.6867;0;Bottom;TXT1
74;;THT;93.7899;-55.9018;-90;Bottom;J63
75;;;35.8019;-27.6597;0;Bottom;TXT1
76;;THT;144.59;-195.602;-90;Bottom;J32
77;;;34.8825;-22.5785;0;Bottom;TXT1
78;;;330.281;-332.38;0;Bottom;Via25
79;;[THT];12.3934;-152.173;0;Bottom;S2
80;100k;THT;21.3334;-26.5483;0;Bottom;R7
81;;;116.883;-41.9881;0;Bottom;Via48
82;;THT;195.39;-195.602;-90;Bottom;J35
83;;THT;93.7899;-111.782;-90;Bottom;J54
84;;THT;246.19;-55.9018;-90;Bottom;J62
85;;;335.203;-335.339;0;Bottom;Hole1
86;;;305.94;-276.547;0;Bottom;Via6
87;;THT;195.39;-139.722;-90;Bottom;J44
88;;THT;43.0038;-335.285;-90;Bottom;J1
89;;THT;144.59;-83.8418;-90;Bottom;J55
90;;;285.168;-138.926;-90;Bottom;TXT3
91;;THT;246.19;-251.482;-90;Bottom;J19
92;;;305.94;-226.382;0;Bottom;Via10
93;;;10.7274;-34.1509;0;Bottom;TXT1
94;;;270.041;-138.851;-90;Bottom;TXT3
95;;;325.695;-41.9733;0;Bottom;Via38
96;;;337.807;-143.15;0;Bottom;Via31
97;;THT;144.59;-139.722;-90;Bottom;J46
98;;THT;29.9853;-23.9919;0;Bottom;J79
99;;;272.543;-137.938;-90;Bottom;TXT3
100;;;6.42298;-41.9881;0;Bottom;Via52
101;;;325.907;-139.269;-90;Bottom;TXT3
102;5k;THT;21.3434;-24.0083;0;Bottom;R8
103;;THT;42.9993;-251.471;-90;Bottom;J23
104;;;2.15493;-163.848;0;Bottom;TXT1
105;;THT;144.581;-27.961;-90;Bottom;J72
106;;THT;42.9993;-111.771;-90;Bottom;J50
107;;;305.94;-136.986;0;Bottom;Via23
108;;THT;246.19;-167.662;-90;Bottom;J42
109;;;35.712;-124.288;0;Bottom;Via55
110;;THT;13.5105;-179.321;0;Bottom;J82
111;;THT;6.41733;-193.959;0;Bottom;S1
112;;THT;93.7899;-139.722;-90;Bottom;J47
113;;THT;195.39;-279.422;-90;Bottom;J16
114;;;35.3184;-20.021;0;Bottom;TXT1
115;;;272.191;-20.1952;0;Bottom;Via58
116;;;277.623;-137.948;-90;Bottom;TXT3
117;;THT;144.59;-55.9018;-90;Bottom;J65
118;;;325.631;-321.156;0;Bottom;Via37
119;;;2.10131;-167.42;0;Bottom;TXT1
120;;THT;195.39;-251.482;-90;Bottom;J20
121;;THT;246.19;-111.782;-90;Bottom;J52
122;;THT;144.59;-251.482;-90;Bottom;J22
123;;;27.9564;-99.7;0;Bottom;TXT1
124;;;337.807;-196.631;0;Bottom;Via30
125;;THT;296.991;-251.482;-90;Bottom;J24
126;;THT;296.991;-279.422;-90;Bottom;J13
127;;;336.302;-136.986;0;Bottom;Via32
128;;THT;296.993;-335.296;-90;Bottom;J6
129;;;4.77814;-34.1433;0;Bottom;TXT1
