*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=TacText
*Date=13:52:09
*CreatedBy=Fritzing 0.9.2b.11.19.8d2d5970658f0bed09c661c9ea9a515b5f40f44c
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
1;;[THT];130.26;-7.08848;0;Bottom;ctrl
2;;[THT];89.6075;-27.4215;0;Bottom;J j
3;;[THT];38.8075;-27.4215;0;Bottom;S s
4;;[THT];69.2821;-47.7478;0;Bottom;6 ^
5;;[THT];74.3796;-37.5685;0;Bottom;Y y
6;;diode-zener;94.3313;-46.4222;-90;Bottom;U7
7;;[THT];145.505;-17.2422;0;Bottom;<--
8;;diode-zener;58.7729;-15.9569;-90;Bottom;U50
9;;diode-zener;145.158;-26.1251;-90;Bottom;U44
10;;diode-zener;79.105;-36.2636;-90;Bottom;U19
11;;diode-zener;119.771;-15.982;-90;Bottom;U48
12;;diode-zener;63.8641;-46.4393;-90;Bottom;U10
13;;diode-zener;48.6132;-15.9569;-90;Bottom;U46
14;;diode-zener;74.0438;-5.80165;-90;Bottom;U75
15;;diode-zener;74.0262;-46.4222;-90;Bottom;U6
16;;diode-zener;140.059;-36.2672;-90;Bottom;U22
17;;[THT];8.33385;-47.7393;0;Bottom;esc
18;;;116.984;-42.5549;0;Bottom;Hole6
19;;;161.851;-2.02778;0;Bottom;Hole3
20;;;75.7732;-22.63;0;Bottom;Via1
21;;[THT];43.905;-17.2422;0;Bottom;X x
22;;[THT];140.402;-47.7478;0;Bottom;bksp
23;;diode-zener;84.1712;-46.4222;-90;Bottom;U8
24;;diode-zener;114.691;-26.1421;-90;Bottom;U33
25;;[THT];33.7396;-37.5685;0;Bottom;W w
26;;[THT];125.185;-17.2422;0;Bottom;/ ?
27;;[THT];13.4314;-37.56;0;Bottom;tab
28;;diode-zener;53.6986;-46.4393;-90;Bottom;U5
29;;[THT];33.7451;-17.2422;0;Bottom;Z z
30;;;74.5031;-55.0385;0;Bottom;TXT2
31;;diode-zener;38.4528;-15.9569;-90;Bottom;U52
32;;[THT];48.9675;-27.4215;0;Bottom;D d
33;;diode-zener;150.238;-15.965;-90;Bottom;U57
34;;diode-zener;13.0716;-46.4564;-90;Bottom;U1
35;;[THT];135.34;-37.5685;0;Bottom;] }
36;;[THT];84.545;-17.2422;0;Bottom;N n
37;;diode-zener;134.998;-26.1251;-90;Bottom;U39
38;;diode-zener;109.57;-36.2636;-90;Bottom;U18
39;;diode-zener;129.933;-15.965;-90;Bottom;U60
40;220;THT;11.7793;-53.2041;0;Bottom;R1
41;;diode-zener;33.3728;-26.117;-90;Bottom;U43
42;;[THT];155.66;-37.5685;0;Bottom;` ~
43;;;94.8127;-55.0427;0;Bottom;TXT2
44;;diode-zener;134.98;-46.4258;-90;Bottom;U14
45;;[THT];38.8021;-47.7478;0;Bottom;3 #
46;;[THT];18.4875;-27.4215;0;Bottom;caps
47;;[THT];120.082;-47.7478;0;Bottom;- _
48;;diode-zener;89.269;-15.9614;-90;Bottom;U59
49;;diode-zener;155.3;-46.4258;-90;Bottom;U13
50;;[THT];64.2196;-37.5685;0;Bottom;T t
